free_spaces_number;updated_at;parking_id;HORA;FECHA
13;2021-11-04 18:35:24.857000;El Corte Inglés Callao;18:35:24;2021-11-04
44;2021-11-04 18:35:25.507000;MERCADO SAN ANTON;18:35:25;2021-11-04
28;2021-11-04 18:35:26.037000;GARAJE PIAMONTE;18:35:26;2021-11-04
18;2021-11-04 18:35:26.590000;PARKING VOT;18:35:26;2021-11-04
76;2021-11-04 18:36:08.507000;Mercado de la Cebada;18:36:08;2021-11-04
523;2021-11-04 18:37:26.900000;Nuestra Señora del Recuerdo;18:37:26;2021-11-04
253;2021-11-04 18:36:44.667000;Avenida de Portugal;18:36:44;2021-11-04
176;2021-11-04 18:37:18.983000;Almagro;18:37:18;2021-11-04
82;2021-11-04 18:37:16.133000;Jacinto Benavente;18:37:16;2021-11-04
82;2021-11-04 18:36:41.177000;Orense;18:36:41;2021-11-04
271;2021-11-04 18:37:25.993000;Marqués de Salamanca;18:37:25;2021-11-04
49;2021-11-04 18:37:21.350000;Fuencarral;18:37:21;2021-11-04
17;2021-11-04 18:37:24.973000;Montalbán;18:37:24;2021-11-04
196;2021-11-04 18:37:20.177000;Olavide;18:37:20;2021-11-04
340;2021-11-04 18:36:42.327000;Plaza de España;18:36:42;2021-11-04
244;2021-11-04 18:36:39.863000;Plaza Mayor;18:36:39;2021-11-04
23;2021-11-04 18:37:18.107000;Villa de París;18:37:18;2021-11-04
2;2021-11-04 18:37:17.163000;Pedro Zerolo;18:37:17;2021-11-04
74;2021-11-04 18:37:18.670000;Mercado de la Cebada;18:37:18;2021-11-04
523;2021-11-04 18:38:14.937000;Nuestra Señora del Recuerdo;18:38:14;2021-11-04
250;2021-11-04 18:38:21.580000;Avenida de Portugal;18:38:21;2021-11-04
175;2021-11-04 18:38:06.557000;Almagro;18:38:06;2021-11-04
80;2021-11-04 18:38:03.060000;Jacinto Benavente;18:38:03;2021-11-04
83;2021-11-04 18:38:18.033000;Orense;18:38:18;2021-11-04
272;2021-11-04 18:38:13.953000;Marqués de Salamanca;18:38:13;2021-11-04
52;2021-11-04 18:38:08.837000;Fuencarral;18:38:08;2021-11-04
123;2021-11-04 18:38:20.157000;Montalbán;18:38:20;2021-11-04
196;2021-11-04 18:38:07.743000;Olavide;18:38:07;2021-11-04
339;2021-11-04 18:38:19.110000;Plaza de España;18:38:19;2021-11-04
242;2021-11-04 18:38:16.893000;Plaza Mayor;18:38:16;2021-11-04
23;2021-11-04 18:38:05.377000;Villa de París;18:38:05;2021-11-04
2;2021-11-04 18:38:04.313000;Pedro Zerolo;18:38:04;2021-11-04
71;2021-11-04 18:38:18.753000;Mercado de la Cebada;18:38:18;2021-11-04
523;2021-11-04 18:39:04.397000;Nuestra Señora del Recuerdo;18:39:04;2021-11-04
252;2021-11-04 18:39:10.393000;Avenida de Portugal;18:39:10;2021-11-04
176;2021-11-04 18:38:55.733000;Almagro;18:38:55;2021-11-04
79;2021-11-04 18:38:52.870000;Jacinto Benavente;18:38:52;2021-11-04
83;2021-11-04 18:39:07.720000;Orense;18:39:07;2021-11-04
273;2021-11-04 18:39:03.277000;Marqués de Salamanca;18:39:03;2021-11-04
51;2021-11-04 18:38:57.953000;Fuencarral;18:38:57;2021-11-04
124;2021-11-04 18:39:09.723000;Montalbán;18:39:09;2021-11-04
197;2021-11-04 18:38:56.843000;Olavide;18:38:56;2021-11-04
338;2021-11-04 18:39:08.720000;Plaza de España;18:39:08;2021-11-04
240;2021-11-04 18:39:06.670000;Plaza Mayor;18:39:06;2021-11-04
24;2021-11-04 18:38:54.613000;Villa de París;18:38:54;2021-11-04
2;2021-11-04 18:38:53.643000;Pedro Zerolo;18:38:53;2021-11-04
69;2021-11-04 18:39:18.867000;Mercado de la Cebada;18:39:18;2021-11-04
523;2021-11-04 18:39:53.500000;Nuestra Señora del Recuerdo;18:39:53;2021-11-04
252;2021-11-04 18:40:00.923000;Avenida de Portugal;18:40:00;2021-11-04
178;2021-11-04 18:40:35.513000;Almagro;18:40:35;2021-11-04
249;2021-11-04 18:40:14.507000;Luna-Tudescos;18:40:14;2021-11-04
79;2021-11-04 18:40:31.987000;Jacinto Benavente;18:40:31;2021-11-04
32;2021-11-04 18:40:17.707000;Arquitecto Ribera (Barceló);18:40:17;2021-11-04
29;2021-11-04 18:40:19.083000;Casino de la Reina;18:40:19;2021-11-04
291;2021-11-04 18:40:21.453000;Descalzas;18:40:21;2021-11-04
83;2021-11-04 18:39:57.333000;Orense;18:39:57;2021-11-04
274;2021-11-04 18:39:52.230000;Marqués de Salamanca;18:39:52;2021-11-04
50;2021-11-04 18:39:46.543000;Fuencarral;18:39:46;2021-11-04
