free_spaces_number;updated_at;parking_id;fecha;hora
1;2021-11-04 18:30:39.067000;Pedro Zerolo;2021-11-04;18:30:39
5;2021-11-04 18:30:25.593000;BARCO 1;2021-11-04;18:30:25
2;2021-11-04 18:30:26.093000;GRAVINA 21;2021-11-04;18:30:26
13;2021-11-04 18:30:26.703000;El Corte Inglés Callao;2021-11-04;18:30:26
44;2021-11-04 18:30:27.313000;MERCADO SAN ANTON;2021-11-04;18:30:27
28;2021-11-04 18:30:27.627000;GARAJE PIAMONTE;2021-11-04;18:30:27
16;2021-11-04 18:30:27.927000;PARKING VOT;2021-11-04;18:30:27
75;2021-11-04 18:30:28.787000;Mercado de la Cebada;2021-11-04;18:30:28
521;2021-11-04 18:32:32.027000;Nuestra Señora del Recuerdo;2021-11-04;18:32:32
252;2021-11-04 18:31:47.670000;Avenida de Portugal;2021-11-04;18:31:47
168;2021-11-04 18:32:22.440000;Almagro;2021-11-04;18:32:22
82;2021-11-04 18:32:18.800000;Jacinto Benavente;2021-11-04;18:32:18
79;2021-11-04 18:31:43.970000;Orense;2021-11-04;18:31:43
265;2021-11-04 18:32:30.773000;Marqués de Salamanca;2021-11-04;18:32:30
47;2021-11-04 18:32:24.720000;Fuencarral;2021-11-04;18:32:24
16;2021-11-04 18:32:29.467000;Montalbán;2021-11-04;18:32:29
197;2021-11-04 18:32:23.717000;Olavide;2021-11-04;18:32:23
339;2021-11-04 18:31:45.190000;Plaza de España;2021-11-04;18:31:45
243;2021-11-04 18:32:34.327000;Plaza Mayor;2021-11-04;18:32:34
21;2021-11-04 18:32:21.317000;Villa de París;2021-11-04;18:32:21
0;2021-11-04 18:32:20.037000;Pedro Zerolo;2021-11-04;18:32:20
75;2021-11-04 18:32:18.190000;Mercado de la Cebada;2021-11-04;18:32:18
252;2021-11-04 18:32:39.050000;Avenida de Portugal;2021-11-04;18:32:39
170;2021-11-04 18:33:13.097000;Almagro;2021-11-04;18:33:13
80;2021-11-04 18:33:10.133000;Jacinto Benavente;2021-11-04;18:33:10
79;2021-11-04 18:32:35.450000;Orense;2021-11-04;18:32:35
122;2021-11-04 18:32:37.910000;Montalbán;2021-11-04;18:32:37
340;2021-11-04 18:32:36.730000;Plaza de España;2021-11-04;18:32:36
21;2021-11-04 18:33:12.063000;Villa de París;2021-11-04;18:33:12
0;2021-11-04 18:33:10.933000;Pedro Zerolo;2021-11-04;18:33:10
521;2021-11-04 18:34:08.160000;Nuestra Señora del Recuerdo;2021-11-04;18:34:08
253;2021-11-04 18:33:26.783000;Avenida de Portugal;2021-11-04;18:33:26
171;2021-11-04 18:34:00.937000;Almagro;2021-11-04;18:34:00
80;2021-11-04 18:33:57.887000;Jacinto Benavente;2021-11-04;18:33:57
80;2021-11-04 18:34:11.547000;Orense;2021-11-04;18:34:11
267;2021-11-04 18:34:07.313000;Marqués de Salamanca;2021-11-04;18:34:07
48;2021-11-04 18:34:02.957000;Fuencarral;2021-11-04;18:34:02
122;2021-11-04 18:34:13.907000;Montalbán;2021-11-04;18:34:13
195;2021-11-04 18:34:01.970000;Olavide;2021-11-04;18:34:01
341;2021-11-04 18:34:12.827000;Plaza de España;2021-11-04;18:34:12
248;2021-11-04 18:34:10.260000;Plaza Mayor;2021-11-04;18:34:10
22;2021-11-04 18:33:59.887000;Villa de París;2021-11-04;18:33:59
1;2021-11-04 18:33:58.887000;Pedro Zerolo;2021-11-04;18:33:58
76;2021-11-04 18:34:08.320000;Mercado de la Cebada;2021-11-04;18:34:08
521;2021-11-04 18:34:57.783000;Nuestra Señora del Recuerdo;2021-11-04;18:34:57
252;2021-11-04 18:35:04.257000;Avenida de Portugal;2021-11-04;18:35:04
170;2021-11-04 18:34:49.303000;Almagro;2021-11-04;18:34:49
247;2021-11-04 18:35:12.907000;Luna-Tudescos;2021-11-04;18:35:12
80;2021-11-04 18:34:46.240000;Jacinto Benavente;2021-11-04;18:34:46
29;2021-11-04 18:35:14.613000;Arquitecto Ribera (Barceló);2021-11-04;18:35:14
30;2021-11-04 18:35:15.347000;Casino de la Reina;2021-11-04;18:35:15
290;2021-11-04 18:35:16.473000;Descalzas;2021-11-04;18:35:16
81;2021-11-04 18:35:00.813000;Orense;2021-11-04;18:35:00
268;2021-11-04 18:34:56.597000;Marqués de Salamanca;2021-11-04;18:34:56
